Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2018,Manitoba,Administration,"4,31,86,750","17,42,89,492","21,74,76,242",514.9,79.97
2019,Manitoba,Administration,"4,16,64,250","18,70,16,175","22,86,80,425",524.1,80.04
2020,Manitoba,Administration,"4,34,29,250","19,76,76,804","24,11,06,054",508.6,79.88
2021,Manitoba,Administration,"4,33,23,000","20,79,16,404","25,12,39,404",510.1,80.12
2022,Manitoba,Administration,"4,53,04,250","22,81,61,519","27,34,65,769",506.3,80.18
2023,Manitoba,Administration,"4,99,91,500","24,03,44,584","29,03,36,084",510.7,80.23
2003,Manitoba,Other Health Spending: Net of HCC,"23,70,01,825","33,88,24,268","57,58,26,093",465.4,78.54
2004,Manitoba,Other Health Spending: Net of HCC,"25,42,33,900","36,19,13,243","61,61,47,143",478.5,78.71
2005,Manitoba,Other Health Spending: Net of HCC,"27,49,76,975","39,17,04,767","66,66,81,742",481.6,78.87
2006,Manitoba,Other Health Spending: Net of HCC,"28,87,04,025","41,37,50,542","70,24,54,567",484.6,79.13
2007,Manitoba,Other Health Spending: Net of HCC,"31,82,31,100","45,85,85,254","77,68,16,354",500.7,79.23
2008,Manitoba,Other Health Spending: Net of HCC,"34,54,94,300","49,45,62,684","84,00,56,984",505.1,79.33
2009,Manitoba,Other Health Spending: Net of HCC,"37,14,35,500","53,15,86,970","90,30,22,470",516.3,79.38
2010,Manitoba,Other Health Spending: Net of HCC,"38,79,22,000","55,00,49,955","93,79,71,955",508.7,79.64
2011,Manitoba,Other Health Spending: Net of HCC,"40,83,96,250","57,59,68,861","98,43,65,111",516.1,79.77
2012,Manitoba,Other Health Spending: Net of HCC,"46,25,98,407","65,22,41,980","1,11,48,40,387",498.4,79.95
2013,Manitoba,Other Health Spending: Net of HCC,"12,60,46,500","69,45,99,750","82,06,46,250",501.4,80.07
2014,Manitoba,Other Health Spending: Net of HCC,"13,83,52,465","71,89,83,759","85,73,36,224",503.7,80.1
2015,Manitoba,Other Health Spending: Net of HCC,"15,78,49,503","75,64,36,657","91,42,86,159",499.4,80.1
2016,Manitoba,Other Health Spending: Net of HCC,"16,25,31,781","80,31,04,199","96,56,35,979",496.5,79.99
2017,Manitoba,Other Health Spending: Net of HCC,"17,82,20,442","88,30,68,294","1,06,12,88,737",503.8,79.98
2018,Manitoba,Other Health Spending: Net of HCC,"18,77,44,735","92,44,81,180","1,11,22,25,915",514.9,79.97
2019,Manitoba,Other Health Spending: Net of HCC,"20,26,72,866","97,94,92,985","1,18,21,65,851",524.1,80.04
2020,Manitoba,Other Health Spending: Net of HCC,"20,35,60,279","99,23,67,204","1,19,59,27,483",508.6,79.88
2021,Manitoba,Other Health Spending: Net of HCC,"20,84,16,535","1,05,63,22,829","1,26,47,39,364",510.1,80.12
2022,Manitoba,Other Health Spending: Net of HCC,"21,84,11,046","1,10,87,74,770","1,32,71,85,816",506.3,80.18
2023,Manitoba,Other Health Spending: Net of HCC,"25,06,14,586","1,17,40,02,640","1,42,46,17,226",510.7,80.23
2003,Manitoba,COVID-19 Response Funding,—,—,0,465.4,78.54
2004,Manitoba,COVID-19 Response Funding,—,—,0,478.5,78.71
2005,Manitoba,COVID-19 Response Funding,—,—,0,481.6,78.87
2006,Manitoba,COVID-19 Response Funding,—,—,0,484.6,79.13
2007,Manitoba,COVID-19 Response Funding,—,—,0,500.7,79.23
2008,Manitoba,COVID-19 Response Funding,—,—,0,505.1,79.33
2009,Manitoba,COVID-19 Response Funding,—,—,0,516.3,79.38
2010,Manitoba,COVID-19 Response Funding,—,—,0,508.7,79.64
2011,Manitoba,COVID-19 Response Funding,—,—,0,516.1,79.77
2012,Manitoba,COVID-19 Response Funding,—,—,0,498.4,79.95
2013,Manitoba,COVID-19 Response Funding,—,—,0,501.4,80.07
2014,Manitoba,COVID-19 Response Funding,—,—,0,503.7,80.1
2015,Manitoba,COVID-19 Response Funding,—,—,0,499.4,80.1
2016,Manitoba,COVID-19 Response Funding,—,—,0,496.5,79.99
2017,Manitoba,COVID-19 Response Funding,—,—,0,503.8,79.98
2018,Manitoba,COVID-19 Response Funding,—,—,0,514.9,79.97
2019,Manitoba,COVID-19 Response Funding,—,—,0,524.1,80.04
2020,Manitoba,COVID-19 Response Funding,"23,75,83,278","74,07,09,929","97,82,93,207",508.6,79.88
2021,Manitoba,COVID-19 Response Funding,"43,80,90,876","89,41,20,619","1,33,22,11,495",510.1,80.12
2022,Manitoba,COVID-19 Response Funding,"11,96,32,150","21,80,88,796","33,77,20,946",506.3,80.18
2023,Manitoba,COVID-19 Response Funding,—,—,0,510.7,80.23
2003,Manitoba,Total,"3,22,04,93,106","3,64,53,28,418","6,86,58,21,524",465.4,78.54
2004,Manitoba,Total,"3,43,63,55,992","3,88,97,00,028","7,32,60,56,020",478.5,78.71
2005,Manitoba,Total,"3,69,82,40,175","4,18,99,46,531","7,88,81,86,705",481.6,78.87
2006,Manitoba,Total,"3,90,65,51,632","4,43,09,44,322","8,33,74,95,954",484.6,79.13
2007,Manitoba,Total,"4,16,19,20,143","4,73,49,41,325","8,89,68,61,468",500.7,79.23
2008,Manitoba,Total,"4,43,43,59,118","5,02,93,70,849","9,46,37,29,967",505.1,79.33
2009,Manitoba,Total,"4,78,62,30,638","5,44,76,90,708","10,23,39,21,346",516.3,79.38
2010,Manitoba,Total,"5,02,84,57,474","5,69,49,45,595","10,72,34,03,069",508.7,79.64
2011,Manitoba,Total,"5,23,77,23,476","5,93,02,33,540","11,16,79,57,015",516.1,79.77
2012,Manitoba,Total,"5,54,14,17,016","6,27,99,39,731","11,82,13,56,748",498.4,79.95
2013,Manitoba,Total,"5,78,08,44,835","6,53,46,73,892","12,31,55,18,727",501.4,80.07
2014,Manitoba,Total,"5,82,01,67,737","6,56,94,47,498","12,38,96,15,235",503.7,80.1
2015,Manitoba,Total,"6,09,20,45,393","6,85,48,61,076","12,94,69,06,469",499.4,80.1
2016,Manitoba,Total,"6,20,42,45,677","7,01,21,86,530","13,21,64,32,207",496.5,79.99
2017,Manitoba,Total,"6,33,82,73,201","7,23,18,37,452","13,57,01,10,653",503.8,79.98
2018,Manitoba,Total,"6,43,96,88,748","7,41,90,93,728","13,85,87,82,476",514.9,79.97
2019,Manitoba,Total,"6,60,92,40,955","7,68,60,04,978","14,29,52,45,933",524.1,80.04
2020,Manitoba,Total,"7,12,43,03,118","8,77,55,88,259","15,89,98,91,377",508.6,79.88
2021,Manitoba,Total,"7,40,80,91,630","9,17,07,46,780","16,57,88,38,410",510.1,80.12
2022,Manitoba,Total,"7,40,92,40,466","8,97,66,80,739","16,38,59,21,205",506.3,80.18
2023,Manitoba,Total,"7,80,39,92,836","9,34,03,92,917","17,14,43,85,752",510.7,80.23
2003,Saskatchewan,Hospitals,"97,03,17,485","98,64,97,066","1,95,68,14,551",500.7,78.94
2004,Saskatchewan,Hospitals,"1,03,49,60,767","1,05,14,14,464","2,08,63,75,232",514.7,79.06
2005,Saskatchewan,Hospitals,"1,12,04,12,347","1,14,42,45,736","2,26,46,58,083",504.3,79.14
2006,Saskatchewan,Hospitals,"1,21,72,78,631","1,24,27,32,424","2,46,00,11,055",493.3,79.29
2007,Saskatchewan,Hospitals,"1,29,98,27,906","1,32,68,18,874","2,62,66,46,780",517.9,79.39
2008,Saskatchewan,Hospitals,"1,40,62,09,199","1,43,75,52,525","2,84,37,61,724",520.5,79.4
2009,Saskatchewan,Hospitals,"1,51,54,43,609","1,54,78,11,819","3,06,32,55,428",509.3,79.49
2010,Saskatchewan,Hospitals,"1,66,95,15,476","1,70,46,41,249","3,37,41,56,725",495,79.51
2011,Saskatchewan,Hospitals,"1,73,36,71,103","1,77,11,35,646","3,50,48,06,749",506.3,79.67
2012,Saskatchewan,Hospitals,"1,81,23,99,635","1,85,03,88,357","3,66,27,87,993",501.4,79.85
2013,Saskatchewan,Hospitals,"1,87,19,62,130","1,91,28,67,447","3,78,48,29,577",508.7,79.98
2014,Saskatchewan,Hospitals,"1,91,93,35,343","1,96,17,23,260","3,88,10,58,603",493.7,80.1
2015,Saskatchewan,Hospitals,"1,94,55,61,618","1,98,91,51,091","3,93,47,12,709",489.7,80.07
2016,Saskatchewan,Hospitals,"1,98,59,50,318","2,03,34,50,711","4,01,94,01,029",496.7,80.15
2017,Saskatchewan,Hospitals,"2,02,94,61,988","2,07,37,61,779","4,10,32,23,767",492,80.22
2018,Saskatchewan,Hospitals,"2,07,32,81,287","2,12,14,27,871","4,19,47,09,159",494.7,80.24
2019,Saskatchewan,Hospitals,"2,16,95,54,379","2,21,70,05,087","4,38,65,59,467",519.7,80.31
2020,Saskatchewan,Hospitals,"2,13,01,92,133","2,17,30,46,260","4,30,32,38,394",475,80.06
2021,Saskatchewan,Hospitals,"2,24,96,82,673","2,29,62,58,583","4,54,59,41,256",510.8,80.11
2022,Saskatchewan,Hospitals,"2,38,45,68,323","2,43,55,83,853","4,82,01,52,177",515.7,80.17
2023,Saskatchewan,Hospitals,"2,53,71,07,681","2,58,75,56,503","5,12,46,64,184",521.4,80.24
2003,Saskatchewan,Physicians,"48,32,23,145","49,37,58,019","97,69,81,164",500.7,78.94
2004,Saskatchewan,Physicians,"52,62,86,887","53,74,81,487","1,06,37,68,374",514.7,79.06
2005,Saskatchewan,Physicians,"57,77,05,436","58,89,69,658","1,16,66,75,093",504.3,79.14
2006,Saskatchewan,Physicians,"61,65,47,528","62,96,30,512","1,24,61,78,040",493.3,79.29
2007,Saskatchewan,Physicians,"63,84,50,735","65,16,29,327","1,29,00,80,062",517.9,79.39
2008,Saskatchewan,Physicians,"67,84,18,556","70,82,91,944","1,38,67,10,501",520.5,79.4
2009,Saskatchewan,Physicians,"72,34,47,020","75,57,36,562","1,47,91,83,582",509.3,79.49
2010,Saskatchewan,Physicians,"79,31,34,268","82,32,86,467","1,61,64,20,735",495,79.51
2011,Saskatchewan,Physicians,"87,23,75,811","89,48,12,621","1,76,71,88,432",506.3,79.67
2012,Saskatchewan,Physicians,"90,35,48,265","92,15,98,494","1,82,51,46,758",501.4,79.85
2013,Saskatchewan,Physicians,"97,43,22,206","99,31,18,359","1,96,74,40,565",508.7,79.98
2014,Saskatchewan,Physicians,"1,01,51,80,931","1,03,16,44,295","2,04,68,25,226",493.7,80.1
2015,Saskatchewan,Physicians,"1,06,48,66,432","1,08,06,99,727","2,14,55,66,159",489.7,80.07
2016,Saskatchewan,Physicians,"1,11,85,37,293","1,13,46,19,996","2,25,31,57,289",496.7,80.15
2017,Saskatchewan,Physicians,"1,14,54,54,310","1,16,18,40,858","2,30,72,95,168",492,80.22
2018,Saskatchewan,Physicians,"1,14,49,63,862","1,16,31,87,563","2,30,81,51,426",494.7,80.24
2019,Saskatchewan,Physicians,"1,18,22,53,088","1,20,16,13,005","2,38,38,66,093",519.7,80.31
2020,Saskatchewan,Physicians,"1,20,33,60,816","1,22,32,37,364","2,42,65,98,180",475,80.06
2021,Saskatchewan,Physicians,"1,27,32,72,506","1,29,65,91,699","2,56,98,64,206",510.8,80.11
2022,Saskatchewan,Physicians,"1,33,57,26,215","1,36,12,87,835","2,69,70,14,050",515.7,80.17
2023,Saskatchewan,Physicians,"1,35,75,22,771","1,38,40,37,987","2,74,15,60,758",521.4,80.24
2003,Saskatchewan,Other Professionals,"3,11,59,245","7,14,69,351","10,26,28,596",500.7,78.94
2004,Saskatchewan,Other Professionals,"3,24,36,381","7,41,02,558","10,65,38,938",514.7,79.06
2005,Saskatchewan,Other Professionals,"3,38,09,176","7,28,91,482","10,67,00,658",504.3,79.14
2006,Saskatchewan,Other Professionals,"3,49,41,573","7,88,57,237","11,37,98,810",493.3,79.29
2007,Saskatchewan,Other Professionals,"3,54,14,755","8,40,53,414","11,94,68,169",517.9,79.39
2008,Saskatchewan,Other Professionals,"3,66,70,101","8,95,07,796","12,61,77,897",520.5,79.4
2009,Saskatchewan,Other Professionals,"4,02,30,677","9,84,70,633","13,87,01,310",509.3,79.49
2010,Saskatchewan,Other Professionals,"3,42,05,383","9,71,76,087","13,13,81,469",495,79.51
2011,Saskatchewan,Other Professionals,"3,27,65,504","10,09,38,487","13,37,03,990",506.3,79.67
2012,Saskatchewan,Other Professionals,"3,41,40,526","9,93,32,093","13,34,72,619",501.4,79.85
2013,Saskatchewan,Other Professionals,"3,45,39,670","10,07,50,798","13,52,90,468",508.7,79.98
2014,Saskatchewan,Other Professionals,"4,31,64,608","11,26,72,812","15,58,37,420",493.7,80.1
2015,Saskatchewan,Other Professionals,"5,01,06,828","12,15,19,482","17,16,26,309",489.7,80.07
2016,Saskatchewan,Other Professionals,"5,27,10,823","12,29,48,494","17,56,59,318",496.7,80.15
2017,Saskatchewan,Other Professionals,"5,49,81,429","12,73,56,738","18,23,38,167",492,80.22
2018,Saskatchewan,Other Professionals,"5,61,68,228","13,50,35,468","19,12,03,696",494.7,80.24
2019,Saskatchewan,Other Professionals,"5,67,81,566","14,31,06,043","19,98,87,609",519.7,80.31
2020,Saskatchewan,Other Professionals,"5,08,43,196","13,95,67,575","19,04,10,772",475,80.06
2021,Saskatchewan,Other Professionals,"5,61,22,876","15,98,53,807","21,59,76,683",510.8,80.11
2022,Saskatchewan,Other Professionals,"6,18,40,111","17,47,37,847","23,65,77,958",515.7,80.17
2023,Saskatchewan,Other Professionals,"6,30,87,666","18,03,78,221","24,34,65,886",521.4,80.24
2003,Saskatchewan,Drugs,"16,12,03,696","22,58,71,049","38,70,74,745",500.7,78.94
2004,Saskatchewan,Drugs,"17,82,91,149","24,56,85,579","42,39,76,728",514.7,79.06
2005,Saskatchewan,Drugs,"19,73,47,783","26,81,23,796","46,54,71,579",504.3,79.14
2006,Saskatchewan,Drugs,"21,40,10,449","28,99,89,979","50,40,00,428",493.3,79.29
2007,Saskatchewan,Drugs,"26,21,91,775","34,08,90,133","60,30,81,907",517.9,79.39
2008,Saskatchewan,Drugs,"28,55,46,767","36,74,57,390","65,30,04,157",520.5,79.4
2009,Saskatchewan,Drugs,"30,12,84,609","38,57,69,084","68,70,53,693",509.3,79.49
2010,Saskatchewan,Drugs,"31,67,78,980","40,31,86,044","71,99,65,024",495,79.51
2011,Saskatchewan,Drugs,"31,56,75,978","40,47,68,381","72,04,44,360",506.3,79.67
2012,Saskatchewan,Drugs,"30,56,46,262","39,60,11,058","70,16,57,320",501.4,79.85
2013,Saskatchewan,Drugs,"31,15,44,537","40,43,87,394","71,59,31,931",508.7,79.98
2014,Saskatchewan,Drugs,"31,42,16,186","41,14,75,138","72,56,91,324",493.7,80.1
2015,Saskatchewan,Drugs,"31,71,89,446","42,11,66,907","73,83,56,354",489.7,80.07
2016,Saskatchewan,Drugs,"31,76,79,450","41,49,71,555","73,26,51,005",496.7,80.15
2017,Saskatchewan,Drugs,"32,10,35,943","41,91,82,838","74,02,18,781",492,80.22
2018,Saskatchewan,Drugs,"33,19,93,926","43,27,65,461","76,47,59,387",494.7,80.24
2019,Saskatchewan,Drugs,"34,47,16,486","45,42,16,795","79,89,33,281",519.7,80.31
2020,Saskatchewan,Drugs,"35,51,81,158","49,08,50,442","84,60,31,600",475,80.06
2021,Saskatchewan,Drugs,"38,12,80,811","53,10,30,596","91,23,11,407",510.8,80.11
2022,Saskatchewan,Drugs,"38,37,22,608","55,06,17,765","93,43,40,374",515.7,80.17
2023,Saskatchewan,Drugs,"40,15,77,774","57,54,94,867","97,70,72,641",521.4,80.24
2003,Saskatchewan,Public Health,"22,33,53,096","28,36,04,378","50,69,57,474",500.7,78.94
2004,Saskatchewan,Public Health,"25,56,55,759","31,88,36,081","57,44,91,841",514.7,79.06
2005,Saskatchewan,Public Health,"29,38,83,933","37,00,92,452","66,39,76,385",504.3,79.14
2006,Saskatchewan,Public Health,"29,03,21,596","37,86,35,509","66,89,57,106",493.3,79.29
2007,Saskatchewan,Public Health,"34,49,55,160","44,59,39,066","79,08,94,225",517.9,79.39
2008,Saskatchewan,Public Health,"34,96,58,072","46,33,66,431","81,30,24,503",520.5,79.4
2009,Saskatchewan,Public Health,"36,00,80,334","49,69,71,175","85,70,51,508",509.3,79.49
2010,Saskatchewan,Public Health,"36,59,40,880","50,51,08,179","87,10,49,059",495,79.51
2011,Saskatchewan,Public Health,"41,66,33,830","57,87,71,862","99,54,05,692",506.3,79.67
2012,Saskatchewan,Public Health,"39,35,12,150","57,01,07,451","96,36,19,601",501.4,79.85
2013,Saskatchewan,Public Health,"39,46,27,312","57,41,96,848","96,88,24,160",508.7,79.98
2014,Saskatchewan,Public Health,"41,06,51,396","59,68,17,000","1,00,74,68,396",493.7,80.1
2015,Saskatchewan,Public Health,"41,82,54,745","61,20,14,335","1,03,02,69,080",489.7,80.07
2016,Saskatchewan,Public Health,"42,30,68,706","62,35,60,011","1,04,66,28,718",496.7,80.15
2017,Saskatchewan,Public Health,"43,11,80,103","64,18,34,132","1,07,30,14,235",492,80.22
2018,Saskatchewan,Public Health,"44,01,36,613","69,67,44,927","1,13,68,81,540",494.7,80.24
2019,Saskatchewan,Public Health,"45,86,13,071","76,24,65,950","1,22,10,79,021",519.7,80.31
2020,Saskatchewan,Public Health,"55,08,73,235","91,58,99,220","1,46,67,72,455",475,80.06
2021,Saskatchewan,Public Health,"58,15,72,974","99,09,65,966","1,57,25,38,940",510.8,80.11
2022,Saskatchewan,Public Health,"69,33,44,311","1,14,80,06,541","1,84,13,50,852",515.7,80.17
2023,Saskatchewan,Public Health,"69,85,07,958","1,17,07,25,630","1,86,92,33,588",521.4,80.24
2003,Saskatchewan,Administration,"1,84,25,249","10,07,17,695","11,91,42,944",500.7,78.94
2004,Saskatchewan,Administration,"1,93,62,015","10,94,94,887","12,88,56,902",514.7,79.06
2005,Saskatchewan,Administration,"1,75,85,284","10,39,86,387","12,15,71,670",504.3,79.14
2006,Saskatchewan,Administration,"2,15,82,796","10,63,88,616","12,79,71,412",493.3,79.29
2007,Saskatchewan,Administration,"2,47,99,262","11,36,89,868","13,84,89,130",517.9,79.39
2008,Saskatchewan,Administration,"2,57,97,514","9,34,77,191","11,92,74,705",520.5,79.4
2009,Saskatchewan,Administration,"2,65,54,715","8,91,15,736","11,56,70,451",509.3,79.49
2010,Saskatchewan,Administration,"2,65,75,500","8,49,36,201","11,15,11,701",495,79.51
2011,Saskatchewan,Administration,"4,25,15,315","10,36,00,289","14,61,15,604",506.3,79.67
2012,Saskatchewan,Administration,"4,61,04,609","11,36,01,988","15,97,06,597",501.4,79.85
2013,Saskatchewan,Administration,"4,66,99,625","11,16,85,112","15,83,84,737",508.7,79.98
2014,Saskatchewan,Administration,"4,74,20,473","10,82,31,267","15,56,51,740",493.7,80.1
2015,Saskatchewan,Administration,"4,21,01,982","10,30,30,342","14,51,32,324",489.7,80.07
2016,Saskatchewan,Administration,"3,67,30,090","10,65,48,342","14,32,78,432",496.7,80.15
2017,Saskatchewan,Administration,"3,36,45,641","10,99,31,700","14,35,77,341",492,80.22
2018,Saskatchewan,Administration,"3,64,05,628","12,03,22,835","15,67,28,463",494.7,80.24
2019,Saskatchewan,Administration,"4,44,37,377","12,87,40,307","17,31,77,685",519.7,80.31
2020,Saskatchewan,Administration,"4,07,28,831","13,88,75,730","17,96,04,561",475,80.06
2021,Saskatchewan,Administration,"4,05,99,038","13,85,74,382","17,91,73,420",510.8,80.11
2022,Saskatchewan,Administration,"4,70,98,299","15,23,32,403","19,94,30,702",515.7,80.17
2023,Saskatchewan,Administration,"5,07,57,536","16,03,83,524","21,11,41,060",521.4,80.24
2003,Saskatchewan,Other Health Spending: Net of HCC,"17,77,14,044","26,96,84,011","44,73,98,055",500.7,78.94
2004,Saskatchewan,Other Health Spending: Net of HCC,"20,49,77,822","28,27,08,829","48,76,86,650",514.7,79.06
2005,Saskatchewan,Other Health Spending: Net of HCC,"21,78,31,876","28,94,89,268","50,73,21,144",504.3,79.14
2006,Saskatchewan,Other Health Spending: Net of HCC,"21,72,25,309","29,46,13,065","51,18,38,373",493.3,79.29
2007,Saskatchewan,Other Health Spending: Net of HCC,"22,37,49,337","30,87,48,930","53,24,98,267",517.9,79.39
2008,Saskatchewan,Other Health Spending: Net of HCC,"23,75,34,249","33,01,50,471","56,76,84,720",520.5,79.4
2009,Saskatchewan,Other Health Spending: Net of HCC,"25,19,36,362","35,45,36,385","60,64,72,747",509.3,79.49
2010,Saskatchewan,Other Health Spending: Net of HCC,"27,44,11,570","37,86,57,082","65,30,68,651",495,79.51
2011,Saskatchewan,Other Health Spending: Net of HCC,"30,36,41,824","40,98,15,262","71,34,57,086",506.3,79.67
2012,Saskatchewan,Other Health Spending: Net of HCC,"40,64,45,869","52,61,93,369","93,26,39,238",501.4,79.85
2013,Saskatchewan,Other Health Spending: Net of HCC,"17,41,45,979","58,40,73,528","75,82,19,508",508.7,79.98
2014,Saskatchewan,Other Health Spending: Net of HCC,"17,75,96,096","60,48,19,705","78,24,15,800",493.7,80.1
2015,Saskatchewan,Other Health Spending: Net of HCC,"18,79,96,945","63,97,19,981","82,77,16,926",489.7,80.07
2016,Saskatchewan,Other Health Spending: Net of HCC,"19,19,40,814","68,09,30,050","87,28,70,864",496.7,80.15
2017,Saskatchewan,Other Health Spending: Net of HCC,"19,40,08,562","69,89,70,515","89,29,79,077",492,80.22
2018,Saskatchewan,Other Health Spending: Net of HCC,"19,89,29,047","73,59,87,784","93,49,16,831",494.7,80.24
2019,Saskatchewan,Other Health Spending: Net of HCC,"20,25,39,484","77,97,08,184","98,22,47,668",519.7,80.31
2020,Saskatchewan,Other Health Spending: Net of HCC,"20,40,86,094","79,35,78,776","99,76,64,870",475,80.06
2021,Saskatchewan,Other Health Spending: Net of HCC,"21,34,65,512","87,85,50,985","1,09,20,16,498",510.8,80.11
2022,Saskatchewan,Other Health Spending: Net of HCC,"22,65,20,789","95,24,42,433","1,17,89,63,222",515.7,80.17
2023,Saskatchewan,Other Health Spending: Net of HCC,"25,30,53,068","1,00,59,20,690","1,25,89,73,758",521.4,80.24
2003,Saskatchewan,COVID-19 Response Funding,—,—,0,500.7,78.94
2004,Saskatchewan,COVID-19 Response Funding,—,—,0,514.7,79.06
2005,Saskatchewan,COVID-19 Response Funding,—,—,0,504.3,79.14
2006,Saskatchewan,COVID-19 Response Funding,—,—,0,493.3,79.29
2007,Saskatchewan,COVID-19 Response Funding,—,—,0,517.9,79.39
2008,Saskatchewan,COVID-19 Response Funding,—,—,0,520.5,79.4
2009,Saskatchewan,COVID-19 Response Funding,—,—,0,509.3,79.49
2010,Saskatchewan,COVID-19 Response Funding,—,—,0,495,79.51
2011,Saskatchewan,COVID-19 Response Funding,—,—,0,506.3,79.67
2012,Saskatchewan,COVID-19 Response Funding,—,—,0,501.4,79.85
2013,Saskatchewan,COVID-19 Response Funding,—,—,0,508.7,79.98
2014,Saskatchewan,COVID-19 Response Funding,—,—,0,493.7,80.1
2015,Saskatchewan,COVID-19 Response Funding,—,—,0,489.7,80.07
2016,Saskatchewan,COVID-19 Response Funding,—,—,0,496.7,80.15
2017,Saskatchewan,COVID-19 Response Funding,—,—,0,492,80.22
2018,Saskatchewan,COVID-19 Response Funding,—,—,0,494.7,80.24
2019,Saskatchewan,COVID-19 Response Funding,—,—,0,519.7,80.31
2020,Saskatchewan,COVID-19 Response Funding,"31,41,25,000","74,31,84,891","1,05,73,09,891",475,80.06
2021,Saskatchewan,COVID-19 Response Funding,"36,98,09,313","75,71,95,480","1,12,70,04,793",510.8,80.11
2022,Saskatchewan,COVID-19 Response Funding,"9,12,11,438","17,46,78,639","26,58,90,076",515.7,80.17
2023,Saskatchewan,COVID-19 Response Funding,—,—,0,521.4,80.24
2003,Saskatchewan,Total,"2,55,08,93,466","2,91,86,73,863","5,46,95,67,329",500.7,78.94
2004,Saskatchewan,Total,"2,75,17,04,540","3,12,06,28,340","5,87,23,32,880",514.7,79.06
2005,Saskatchewan,Total,"3,00,67,20,796","3,38,71,42,340","6,39,38,63,136",504.3,79.14
2006,Saskatchewan,Total,"3,21,34,22,325","3,62,34,45,509","6,83,68,67,834",493.3,79.29
2007,Saskatchewan,Total,"3,50,17,29,018","3,94,50,90,367","7,44,68,19,385",517.9,79.39
2008,Saskatchewan,Total,"3,74,90,67,819","4,22,00,66,850","7,96,91,34,670",520.5,79.4
2009,Saskatchewan,Total,"3,98,64,64,169","4,49,68,55,670","8,48,33,19,839",509.3,79.49
2010,Saskatchewan,Total,"4,27,37,44,215","4,79,10,25,853","9,06,47,70,069",495,79.51
2011,Saskatchewan,Total,"4,54,63,82,694","5,09,37,43,429","9,64,01,26,123",506.3,79.67
2012,Saskatchewan,Total,"4,76,98,56,720","5,34,60,15,762","10,11,58,72,482",501.4,79.85
2013,Saskatchewan,Total,"5,03,79,69,274","5,63,02,75,311","10,66,82,44,586",508.7,79.98
2014,Saskatchewan,Total,"5,17,85,97,607","5,78,53,99,929","10,96,39,97,536",493.7,80.1
2015,Saskatchewan,Total,"5,36,17,46,336","5,98,85,17,806","11,35,02,64,142",489.7,80.07
2016,Saskatchewan,Total,"5,55,94,91,585","6,22,42,93,888","11,78,37,85,474",496.7,80.15
2017,Saskatchewan,Total,"5,66,68,00,756","6,35,33,15,800","12,02,01,16,556",492,80.22
2018,Saskatchewan,Total,"5,64,00,59,942","6,40,74,17,190","12,04,74,77,133",494.7,80.24
2019,Saskatchewan,Total,"5,87,77,05,710","6,72,79,39,523","12,60,56,45,233",519.7,80.31
2020,Saskatchewan,Total,"6,24,41,71,518","7,63,31,84,905","13,87,73,56,424",475,80.06
2021,Saskatchewan,Total,"6,55,64,72,958","8,03,54,79,969","14,59,19,52,928",510.8,80.11
2022,Saskatchewan,Total,"6,63,99,79,195","7,94,25,30,416","14,58,25,09,611",515.7,80.17
2023,Saskatchewan,Total,"6,84,71,92,709","8,11,28,02,001","14,95,99,94,710",521.4,80.24
2003,Alberta,Hospitals,"3,51,51,24,832","3,58,74,13,429","7,10,25,38,260",388.6,79.76
2004,Alberta,Hospitals,"3,95,34,01,632","4,02,95,15,921","7,98,29,17,552",390.2,79.85
2005,Alberta,Hospitals,"4,33,65,74,530","4,41,96,85,637","8,75,62,60,167",398.3,80
2006,Alberta,Hospitals,"4,71,40,69,581","4,80,72,31,904","9,52,13,01,485",405.7,80.23
2007,Alberta,Hospitals,"5,09,85,14,206","5,19,26,34,809","10,29,11,49,015",405.5,80.34
2008,Alberta,Hospitals,"5,61,55,98,761","5,71,96,59,950","11,33,52,58,711",407.6,80.44
2009,Alberta,Hospitals,"6,05,90,84,211","6,15,86,88,037","12,21,77,72,249",409.8,80.55
2010,Alberta,Hospitals,"6,77,76,35,893","6,87,44,20,307","13,65,20,56,200",409,80.81
2011,Alberta,Hospitals,"6,86,91,52,133","6,97,43,00,472","13,84,34,52,605",426.9,81.14
2012,Alberta,Hospitals,"7,24,01,90,072","7,34,84,09,637","14,58,85,99,709",420.7,81.33
2013,Alberta,Hospitals,"7,67,25,17,730","7,78,72,86,613","15,45,98,04,343",417.6,81.37
2014,Alberta,Hospitals,"7,91,16,24,674","8,02,48,01,790","15,93,64,26,464",438.2,81.37
2015,Alberta,Hospitals,"8,08,42,04,570","8,17,45,93,771","16,25,87,98,341",439.4,81.37
2016,Alberta,Hospitals,"8,28,89,13,149","8,37,05,70,375","16,65,94,83,523",444.3,81.43
2017,Alberta,Hospitals,"8,43,83,49,339","8,52,34,17,394","16,96,17,66,733",447,81.42
2018,Alberta,Hospitals,"8,49,08,81,256","8,58,75,01,738","17,07,83,82,994",460.3,81.45
2019,Alberta,Hospitals,"8,47,48,80,396","8,57,20,71,897","17,04,69,52,293",469.9,81.63
2020,Alberta,Hospitals,"8,60,43,37,714","8,68,63,10,102","17,29,06,47,816",432.3,81.46
